bicicleteria;direccion;telefono;pagina_web;barrio;comuna;latitude;longitude;geojson
Nino Bikes;Av. García del Río 2802;4702-6984;http://www.ninobikes.com/;Núñez;12;-34.5495;-58.4732;"{""type"":""Point"",""coordinates"":[-58.47318,-34.5495]}"
Bici Vazquez;Ituzaingo 602;4300-2081;sin pagina web;La Boca;4;-34.6298;-58.3738;"{""type"":""Point"",""coordinates"":[-58.37376,-34.62983]}"
Tecno Bikes;billinghurst 1186;1541567008;sin pagina web;Almagro;2;-34.5959;-58.414;"{""type"":""Point"",""coordinates"":[-58.414,-34.59592]}"
Thunder Bikes;Av. Ricardo Balbín 3827;4547-0451;http://www.thunderbikes.com.ar;Saavedra;12;-34.5547;-58.4844;"{""type"":""Point"",""coordinates"":[-58.48437,-34.55471]}"
Bicicleterias Marino;Av. Cabildo 4883;4701-5485;sin pagina web;Nuñez;13;-34.5401;-58.4747;"{""type"":""Point"",""coordinates"":[-58.47465,-34.54014]}"
Bicicleteria Balcarce;San Juan 495;4300-5369;sin pagina web;San Telmo;1;-34.6218;-58.3726;"{""type"":""Point"",""coordinates"":[-58.37261,-34.6218]}"
Bicileterias Alejo;La rioja 815;4957-1067/15-6553-6869;http://www.bicicletasalejo.com.ar/;San Cristóbal;3;-34.62;-58.4078;"{""type"":""Point"",""coordinates"":[-58.40779,-34.61995]}"
Furia Specialized Shop;Solis 1221;4304 - 8638;http://www.furiashop.com/;San Cristóbal;1;-34.623;-58.3899;"{""type"":""Point"",""coordinates"":[-58.3899,-34.62297]}"
Bicicleteria Movimiento;Av. Rivadavia 3746;4983-9569;sin pagina web;Almagro;5;-34.6111;-58.419;"{""type"":""Point"",""coordinates"":[-58.41902,-34.61114]}"
Ham Bike;Guaminí 1928;4686-3486;http://www.hambike.com.ar/;Liniers;9;-34.6592;-58.5141;"{""type"":""Point"",""coordinates"":[-58.51414,-34.65915]}"
Rodados Daye;Lope de Vega 1887 ;4567-6269;http://www.dayebicycles.com/dayebicycles/;;10;-34.6227;-58.5136;"{""type"":""Point"",""coordinates"":[-58.51363,-34.62267]}"
Rodados Daye;Av. Crisologo Larralde 5690;4541-4374;http://www.dayebicycles.com/dayebicycles/;;12;-34.5653;-58.5001;"{""type"":""Point"",""coordinates"":[-58.50008,-34.56528]}"
11 a fondo;Congreso 2757;4542-1835;http://www.11afondo.com;Belgrano;13;-34.5572;-58.466;"{""type"":""Point"",""coordinates"":[-58.46598,-34.55718]}"
A pulmon;aguilar 2390;4781-4449;http://www.movilidadapulmon.jimdo.com;Palermo;14;-34.5686;-58.4468;"{""type"":""Point"",""coordinates"":[-58.44676,-34.56864]}"
Muvin;Gorriti 5051; 4833.2154;http://www.muvin.com.ar/;Palermo;14;-34.589;-58.4317;"{""type"":""Point"",""coordinates"":[-58.43167,-34.58903]}"
Soho Byke;Godoy cruz 1518;4777-2394;sin pagina web;Palermo;14;-34.5887;-58.436;"{""type"":""Point"",""coordinates"":[-58.43604,-34.58875]}"
Bicicleteria Santilli;Soler 3470;4963-0416;sin pagina web;Recoleta;2;-34.5951;-58.4132;"{""type"":""Point"",""coordinates"":[-58.4132,-34.59507]}"
Via Bike;French 2695;4806-5566;facebook.com/viabikeweb;Recoleta;2;-34.5894;-58.4017;"{""type"":""Point"",""coordinates"":[-58.40168,-34.58935]}"
Rodados Ferreri;Av. De mayo 1454;4381-3863;sin pagina web;Monserrat;1;-34.6095;-58.3867;"{""type"":""Point"",""coordinates"":[-58.38673,-34.6095]}"
Tu Hogar Sustentable;Cabello 3433;6091-3838;http://www.tuhogarsustentable.com;Palermo;14;-34.5812;-58.4091;"{""type"":""Point"",""coordinates"":[-58.40905,-34.5812]}"
BiciUp;Gurruchaga 1519;3530-1000;http://biciup.com.ar/;Palermo;14;-34.5899;-58.43;"{""type"":""Point"",""coordinates"":[-58.42995,-34.58988]}"
Lord Bike;Av Cramer 1720;sin tel;facebook.com/ldbike;Belgrano;13;-34.5687;-58.458;"{""type"":""Point"",""coordinates"":[-58.45802,-34.5687]}"
Moving Bike;Borges 1995;4833-5790;movingbike.com.ar;Palermo;14;-34.5861;-58.4261;"{""type"":""Point"",""coordinates"":[-58.4261,-34.5861]}"
Filardi;Mosconi 3192;4571-9265;http://www.bicicletasfilardi.com.ar/inicio.htm;Villa Pueyrredon;11;-34.5886;-58.5059;"{""type"":""Point"",""coordinates"":[-58.5059,-34.5886]}"
Rodados Paternal;Terrero 2200;4586-4243;http://rodadospaternal.wix.com/;Villa Gral. Mitre;11;-34.6041;-58.4695;"{""type"":""Point"",""coordinates"":[-58.4695,-34.6041]}"
Soldani Cycling;Av del Libertador 4884;4772-4408;http://www.soldainicycling.com/;Palermo;14;-34.5646;-58.4352;"{""type"":""Point"",""coordinates"":[-58.4352,-34.5646]}"
Soldani Cycling;Costa Rica 4401;3963-4083;http://www.soldainicycling.com/;Palermo;14;-34.59;-58.424;"{""type"":""Point"",""coordinates"":[-58.4240,-34.5900]}"
Hollywood Bikes;Gorriti 5887;4777-4451;http://www.hollywoodbikes.com.ar/;Palermo;14;-34.5826;-58.4401;"{""type"":""Point"",""coordinates"":[-58.4401,-34.5826]}"
Sin Rueditas;Aguirre 184;4857-9594;https://www.facebook.com/sinrueditas.bicicleteria;Villa Crespo;15;-34.6003;-58.4331;"{""type"":""Point"",""coordinates"":[-58.4331,-34.6003]}"
Team Bikes;San Juan 3738;4922-8973;http://team-bikes.com.ar/;Boedo;5;-34.6258;-58.4181;"{""type"":""Point"",""coordinates"":[-58.41806,-34.6258]}"
Rouen;Gorriti 5484;156 545 2933;https://www.facebook.com/RouenCycling;Palermo;14;-34.5858;-58.436;"{""type"":""Point"",""coordinates"":[-58.4360,-34.5858]}"
Viento Bikes;Jose Pedro Varela 4735;4639-0616;http://vientobikes.blogspot.com.ar/;Villa Deboto;11;-34.6101;-58.5163;"{""type"":""Point"",""coordinates"":[-58.5163,-34.6101]}	"
